"CONCAT("O projeto ",Name," precisou de ",Hours," horas para ser concluído.")"
"O projeto Winds: Studying Bernoullis Principle precisou de 156 horas para ser concluído."
"O projeto Aerodynamics and Bridge Design precisou de 189 horas para ser concluído."
"O projeto Aerodynamics and Gas Mileage precisou de 256 horas para ser concluído."
"O projeto Aerodynamics and Ice Hockey precisou de 789 horas para ser concluído."
"O projeto Aerodynamics of a Football precisou de 98 horas para ser concluído."
"O projeto Aerodynamics of Air Hockey precisou de 89 horas para ser concluído."
"O projeto A Matter of Time precisou de 112 horas para ser concluído."
"O projeto A Puzzling Parallax precisou de 299 horas para ser concluído."
"O projeto Build Your Own Telescope precisou de 6546 horas para ser concluído."
"O projeto Juicy: Extracting Apple Juice with Pectinase precisou de 321 horas para ser concluído."
"O projeto A Magnetic Primer Designer precisou de 9684 horas para ser concluído."
"O projeto Bacterial Transformation Efficiency precisou de 321 horas para ser concluído."
"O projeto A Silver-Cleaning Battery precisou de 545 horas para ser concluído."
"O projeto A Soluble Separation Solution precisou de 778 horas para ser concluído."
